"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"Mar 11, 2020,""12,840.00"",""12,895.00"",""12,905.00"",""12,820.00"",""15.26K"",""-0.16%"""
"Mar 10, 2020,""12,860.00"",""12,860.00"",""12,930.00"",""12,810.00"",""8.08K"",""0.23%"""
"Mar 09, 2020,""12,830.00"",""12,880.00"",""12,945.00"",""12,760.00"",""14.01K"",""-1.95%"""
"Mar 06, 2020,""13,085.00"",""13,110.00"",""13,135.00"",""13,020.00"",""10.26K"",""-0.30%"""
"Mar 05, 2020,""13,125.00"",""13,135.00"",""13,155.00"",""13,095.00"",""9.11K"",""0.11%"""
"Mar 04, 2020,""13,110.00"",""13,220.00"",""13,220.00"",""13,065.00"",""10.97K"",""-0.87%"""
"Mar 03, 2020,""13,225.00"",""13,250.00"",""13,305.00"",""13,200.00"",""8.45K"",""0.53%"""
"Mar 02, 2020,""13,155.00"",""13,160.00"",""13,200.00"",""13,115.00"",""15.51K"",""-0.38%"""
"Feb 28, 2020,""13,205.00"",""13,405.00"",""13,405.00"",""13,035.00"",""17.98K"",""-1.49%"""
"Feb 27, 2020,""13,405.00"",""13,450.00"",""13,455.00"",""13,360.00"",""10.92K"",""-0.45%"""
"Feb 26, 2020,""13,465.00"",""13,480.00"",""13,485.00"",""13,440.00"",""10.79K"",""0.07%"""
"Feb 25, 2020,""13,455.00"",""13,610.00"",""13,610.00"",""13,410.00"",""19.80K"",""-0.15%"""
"Feb 24, 2020,""13,475.00"",""13,575.00"",""13,575.00"",""13,450.00"",""22.75K"",""-0.92%"""
"Feb 21, 2020,""13,600.00"",""13,650.00"",""13,650.00"",""13,570.00"",""19.20K"",""-0.48%"""
"Feb 20, 2020,""13,665.00"",""13,705.00"",""13,715.00"",""13,645.00"",""16.81K"",""-0.22%"""
"Feb 19, 2020,""13,695.00"",""13,725.00"",""13,725.00"",""13,680.00"",""14.60K"",""0.07%"""
"Feb 18, 2020,""13,685.00"",""13,615.00"",""13,720.00"",""13,615.00"",""25.46K"",""0.88%"""
"Feb 17, 2020,""13,565.00"",""13,620.00"",""13,620.00"",""13,265.00"",""7.75K"",""-0.40%"""
"Feb 14, 2020,""13,620.00"",""13,660.00"",""13,660.00"",""13,615.00"",""6.62K"",""-0.22%"""
"Feb 13, 2020,""13,650.00"",""13,675.00"",""13,675.00"",""13,645.00"",""4.25K"",""-0.36%"""
"Feb 12, 2020,""13,700.00"",""13,770.00"",""13,770.00"",""13,675.00"",""6.00K"",""-0.22%"""
"Feb 11, 2020,""13,730.00"",""13,660.00"",""13,800.00"",""13,640.00"",""11.20K"",""0.55%"""
"Feb 10, 2020,""13,655.00"",""13,645.00"",""13,690.00"",""13,605.00"",""9.99K"",""-0.18%"""
"Feb 07, 2020,""13,680.00"",""13,670.00"",""13,715.00"",""13,660.00"",""6.81K"",""0.40%"""
"Feb 06, 2020,""13,625.00"",""13,635.00"",""13,650.00"",""13,610.00"",""5.41K"",""0.26%"""
"Feb 05, 2020,""13,590.00"",""13,555.00"",""13,625.00"",""13,530.00"",""6.26K"",""0.18%"""
"Feb 04, 2020,""13,565.00"",""13,580.00"",""13,650.00"",""13,535.00"",""12.53K"",""-1.09%"""
